Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2026-04-15,"New TR Route",5.6,"w/ Zara.",https://www.mountainproject.com/route/900000119/new-tr-route,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.0,-1,TR,,"Trad, TR",,55,1600
2026-04-15,"New Boulder",V0,"w/ Priya. First go",https://www.mountainproject.com/route/900000118/new-boulder,1,"Colorado > Fake Canyon > Dummy Crag > Boulderfield",1.9,-1,Send,,Boulder,,10,20008
2026-04-08,"New Route Two",5.10b,"w/ Theo. Sent on second go",https://www.mountainproject.com/route/900000117/new-route-two,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.8,-1,Lead,Redpoint,Sport,,65,2900
2026-04-01,"New Route One",5.8,"w/ Zara. New season opener",https://www.mountainproject.com/route/900000116/new-route-one,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.1,-1,Lead,Onsight,Trad,,70,2100
2026-03-16,"Attempt Test",5.10c,"w/ Theo. Worked the moves, not sent yet",https://www.mountainproject.com/route/900000114/attempt-test,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.3,-1,Attempt,,Sport,,60,3200
2026-03-16,"Flash Test",5.9,"w/ Priya. Flashed clean",https://www.mountainproject.com/route/900000115/flash-test,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.5,-1,Flash,,Sport,,50,2400
2026-03-09,"Solo Test",5.5,"Solo. Careful moves near the top",https://www.mountainproject.com/route/900000113/solo-test,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",1.6,-1,Solo,,Trad,,40,1500
2026-03-02,"Follow Test",5.6,"w/ Zara. Followed clean",https://www.mountainproject.com/route/900000112/follow-test,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",1.7,-1,Follow,,Trad,,60,1600
2026-02-23,"Multi Value Type",5.9,"w/ Priya. Good gear the whole way",https://www.mountainproject.com/route/900000111/multi-value-type,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.4,-1,Lead,Onsight,"Trad, TR",,75,2400
2026-02-16,"Stars Drift Route",5.8,"w/ Zara. Steady climbing throughout",https://www.mountainproject.com/route/900000109/stars-drift-route,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.5,-1,Lead,Onsight,Trad,,65,2100
2026-02-16,"Newline Notes Route",5.7,"w/ Theo. Sent after a few tries
Came back stoked",https://www.mountainproject.com/route/900000110/newline-notes-route,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.2,-1,Lead,Redpoint,Sport,,55,1800
2026-02-09,"TR Practice Wall",5.5,"w/ Priya.",https://www.mountainproject.com/route/900000108/tr-practice-wall,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",1.9,-1,TR,,"Trad, TR",,45,1500
2026-02-02,"Boulder Test Problem",V2,"w/ Theo. Fun highball topout",https://www.mountainproject.com/route/900000107/boulder-test-problem,1,"Colorado > Fake Canyon > Dummy Crag > Boulderfield",1.5,-1,Send,,Boulder,,12,20200
2026-01-26,"Empty Length Route",5.10a,"w/ Zara. Whipped at the top",https://www.mountainproject.com/route/900000106/empty-length-route,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.9,-1,Lead,Fell/Hung,Sport,,,2600
2026-01-19,"Placeholder Arete",5.9,"w/ Priya. Committing move at the crux, felt easier the second time",https://www.mountainproject.com/route/900000104/placeholder-arete,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.6,-1,Lead,Redpoint,Sport,,70,2400
2026-01-19,"Two Pitch Test",5.6,"w/ Priya. Multi-pitch practice route",https://www.mountainproject.com/route/900000105/two-pitch-test,2,"Colorado > Fake Canyon > Test Wall > Upper Tier",2.1,-1,Lead,Onsight,Trad,,220,1600
2026-01-12,"Sample Slab",5.7,"w/ Theo.",https://www.mountainproject.com/route/900000103/sample-slab,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.3,-1,TR,,"Trad, TR",,50,1800
2026-01-12,"Sample Slab",5.7,"w/ Theo. Second lap",https://www.mountainproject.com/route/900000103/sample-slab,1,"Colorado > Fake Canyon > Dummy Crag > Practice Wall",2.3,-1,TR,,"Trad, TR",,50,1800
